2022-12-06 02:43:13 - Task preparing to start
Dec  6 04:38:05 2022-12-06 12:45:57.963029+09:00 #011 [0.05010375163887337, 0.0587561846854161]
Dec  6 04:38:05 2022-12-06 12:47:02.732124+09:00 #011 [0.05030947005043063, 0.05836614857243516]
Dec  6 04:38:05 2022-12-06 12:48:07.363037+09:00 #011 [0.05010375163887337, 0.060359666483226326]
Dec  6 04:38:05 2022-12-06 12:49:11.883033+09:00 #011 [0.05132626933303175, 0.061568984801780635]
Dec  6 04:38:05 2022-12-06 12:50:16.967605+09:00 #011 [0.049292670767829394, 0.061568984801780635]
Dec  6 04:38:05 2022-12-06 12:51:21.699042+09:00 #011 [0.04806753245696316, 0.06196314828103644]
Dec  6 04:38:05 2022-12-06 12:52:26.455051+09:00 #011 [0.05030947005043063, 0.061568984801780635]
Dec  6 04:38:05 2022-12-06 12:53:31.467051+09:00 #011 [0.04908564204791832, 0.06196314828103644]
Dec  6 04:38:05 2022-12-06 12:54:36.122186+09:00 #011 [0.05010375163887337, 0.060359666483226326]
Dec  6 04:38:05 2022-12-06 12:55:40.859688+09:00 #011 [0.04806753245696316, 0.0587561846854161]
Dec  6 04:38:05 2022-12-06 12:56:45.313466+09:00 #011 [0.048878079060342916, 0.05754167653662301]
Dec  6 04:38:05 2022-12-06 12:57:50.131032+09:00 #011 [0.048878079060342916, 0.055936125730041475]
Dec  6 04:38:05 2022-12-06 12:58:54.787127+09:00 #011 [0.046628499004114365, 0.05471640496225083]
Dec  6 04:38:05 2022-12-06 12:59:59.703430+09:00 #011 [0.048878079060342916, 0.05754167653662301]
Dec  6 04:38:05 2022-12-06 13:01:05.399056+09:00 #011 [0.04683923249884303, 0.055936125730041475]
Dec  6 04:38:05 2022-12-06 13:02:10.621331+09:00 #011 [0.0419588749112324, 0.052342257494175315]
Dec  6 04:38:05 2022-12-06 13:03:15.823603+09:00 #011 [0.043191875072221664, 0.05356189422841695]
Dec  6 04:38:05 2022-12-06 13:04:20.791341+09:00 #011 [0.04420867435482312, 0.05356189422841695]
Dec  6 04:38:05 2022-12-06 13:05:25.315415+09:00 #011 [0.04442170556698766, 0.054778395649717204]
Dec  6 04:38:05 2022-12-06 13:06:29.975039+09:00 #011 [0.043191875072221664, 0.05356189422841695]
Dec  6 04:38:05 2022-12-06 13:07:34.643061+09:00 #011 [0.04420867435482312, 0.051960476113744214]
Dec  6 04:38:05 2022-12-06 13:08:39.723029+09:00 #011 [0.04420867435482312, 0.05356189422841695]
Dec  6 04:38:05 2022-12-06 13:09:44.255862+09:00 #011 [0.04522547363742424, 0.05356189422841695]
Dec  6 04:38:05 2022-12-06 13:10:49.048625+09:00 #011 [0.04420867435482312, 0.05356189422841695]
Dec  6 04:38:05 2022-12-06 13:11:54.482185+09:00 #011 [0.04442170556698766, 0.05637775538635059]
Dec  6 04:38:05 2022-12-06 13:12:59.235133+09:00 #011 [0.04442170556698766, 0.05637775538635059]
